Date,product_percents_prediction
06/10/2018 13:30,3.529230769
06/10/2018 14:00,3.529185897
06/10/2018 14:30,3.529141026
06/10/2018 15:00,3.529096154
06/10/2018 15:30,3.529051282
06/10/2018 16:00,3.52900641
06/10/2018 16:30,3.528961538
06/10/2018 17:00,3.528916667
06/10/2018 17:30,3.528871795
06/10/2018 18:00,3.528826923
06/10/2018 18:30,3.528782051
06/10/2018 19:00,3.528737179
06/10/2018 19:30,3.528692308
06/10/2018 20:00,3.528647436
06/10/2018 20:30,3.528602564
06/10/2018 21:00,3.528557692
06/10/2018 21:30,3.528512821
06/10/2018 22:00,3.528467949
06/10/2018 22:30,3.528423077
06/10/2018 23:00,3.528378205
06/10/2018 23:30,3.528333333
07/10/2018 00:00,3.528288462
07/10/2018 00:30,3.52824359
07/10/2018 01:00,3.528198718
07/10/2018 01:30,3.528153846
07/10/2018 02:00,3.528108974
07/10/2018 02:30,3.528064103
07/10/2018 03:00,3.528019231
07/10/2018 03:30,3.527974359
07/10/2018 04:00,3.527929487
07/10/2018 04:30,3.527884615
07/10/2018 05:00,3.527839744
07/10/2018 05:30,3.527794872
07/10/2018 06:00,3.52775
07/10/2018 06:30,3.527705128
07/10/2018 07:00,3.527660256
07/10/2018 07:30,3.527615385
07/10/2018 08:00,3.527570513
07/10/2018 08:30,3.527525641
07/10/2018 09:00,3.527480769
07/10/2018 09:30,3.527435897
07/10/2018 10:00,3.527391026
07/10/2018 10:30,3.527346154
07/10/2018 11:00,3.527301282
07/10/2018 11:30,3.52725641
07/10/2018 12:00,3.527211538
07/10/2018 12:30,3.527166667
07/10/2018 13:00,3.527121795
07/10/2018 13:30,3.527076923
07/10/2018 14:00,3.527032051
07/10/2018 14:30,3.526987179
07/10/2018 15:00,3.526942308
07/10/2018 15:30,3.526897436
07/10/2018 16:00,3.526852564
07/10/2018 16:30,3.526807692
07/10/2018 17:00,3.526762821
07/10/2018 17:30,3.526717949
07/10/2018 18:00,3.526673077
07/10/2018 18:30,3.526628205
07/10/2018 19:00,3.526583333
07/10/2018 19:30,3.526538462
07/10/2018 20:00,3.52649359
07/10/2018 20:30,3.526448718
07/10/2018 21:00,3.526403846
07/10/2018 21:30,3.526358974
07/10/2018 22:00,3.526314103
07/10/2018 22:30,3.526269231
07/10/2018 23:00,3.526224359
07/10/2018 23:30,3.526179487
08/10/2018 00:00,3.526134615
08/10/2018 00:30,3.526089744
08/10/2018 01:00,3.526044872
08/10/2018 01:30,3.526
08/10/2018 02:00,3.525955128
08/10/2018 02:30,3.525910256
08/10/2018 03:00,3.525865385
08/10/2018 03:30,3.525820513
08/10/2018 04:00,3.525775641
08/10/2018 04:30,3.525730769
